id,analyst,status,priority,category,created_date,resolved_date,title,description
INC001,Juan Pérez,Open,Critical,Network,2026-03-01,,"Caída de red principal","Pérdida total de conectividad en edificio A"
INC002,María García,Resolved,High,Server,2026-03-02,2026-03-05,"Servidor web no responde","Error 503 en servidor producción"
INC003,Carlos López,Open,Medium,Application,2026-03-03,,"Error en módulo de facturación","Usuarios no pueden generar facturas"
INC004,Ana Martínez,Resolved,Low,Access,2026-03-04,2026-03-06,"Solicitud de acceso usuario nuevo","Nuevo empleado requiere acceso sistema"
INC005,Juan Pérez,Open,High,Database,2026-03-05,,"BD responde lento","Consultas tardan más de 30 segundos"
INC006,María García,Resolved,Medium,Hardware,2026-03-05,2026-03-08,"Impresora no funciona","Impresora piso 3 no imprime"
INC007,Carlos López,Open,Critical,Security,2026-03-06,,"Posible intrusión detectada","Firewall reporta actividad sospechosa"
INC008,Ana Martínez,Resolved,Low,Email,2026-03-07,2026-03-09,"Usuario no recibe emails","Problema con buzón outlook"
INC009,Juan Pérez,In Progress,High,Application,2026-03-08,,"CRM no sincroniza datos","Datos de clientes no se actualizan"
INC010,María García,Open,Medium,Network,2026-03-09,,"WiFi intermitente piso 2","Conexión se cae cada 10 minutos"
INC011,Carlos López,Resolved,Critical,Server,2026-03-10,2026-03-11,"Servidor BD caído","Base de datos principal no responde"
INC012,Ana Martínez,Open,Low,Hardware,2026-03-11,,"Mouse no funciona","Dispositivo de entrada defectuoso"
INC013,Juan Pérez,Resolved,High,Application,2026-03-11,2026-03-13,"App móvil crashea al abrir","Error en versión iOS"
INC014,María García,Open,Medium,Access,2026-03-12,,"Reseteo de contraseña","Usuario olvidó credenciales"
INC015,Carlos López,In Progress,Critical,Security,2026-03-13,,"Ataque DDoS detectado","Tráfico anormal en firewall"
INC016,Ana Martínez,Resolved,Medium,Email,2026-03-13,2026-03-14,"Emails van a spam","Configuración servidor correo"
INC017,Juan Pérez,Open,High,Database,2026-03-14,,"Backup falló","Copia de seguridad no completada"
INC018,María García,Resolved,Low,Hardware,2026-03-14,2026-03-15,"Teclado con teclas pegadas","Requiere limpieza"
INC019,Carlos López,Open,Critical,Network,2026-03-15,,"Switch principal sin respuesta","Red completa caída"
INC020,Ana Martínez,Open,Medium,Application,2026-03-15,,"Portal web muestra error 500","Problema en servidor aplicación"
